source_id,phot_g_mean_mag,bp_rp,teff_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
5877725249279599232,14.614861,0.72576237,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.003650463552570391
5877725249280411392,15.401825,1.128849,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.0048377780270693884
5877725180560940416,15.347593,0.93883514,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.004881301836232603
5877725249302630272,16.47771,0.8695164,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.00568939222227851
5877725249279599488,15.070124,1.7471609,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.006299597370616151
5877725249281374208,18.038551,0.81451225,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.007808347582061958
5877725180587247616,17.51667,0.69048977,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.008004780747411748
5877725249302560768,17.028261,0.8207607,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.008451939390475342
5877725146227461376,18.106464,0.8837471,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.00873313583751454
5877725249280412032,17.343979,0.7904968,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.008740297464050178
5877725214919860992,15.127513,1.1549177,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.008818050611257173
5877725249302560896,17.451933,0.7771988,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.008821927659854883
5877725214932864640,18.133837,0.8304682,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.00895865183071973
5877725180587247744,18.127546,0.7710829,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.009099038540949898
5877725214906275328,17.422411,0.5725956,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.009336970211044569
5877725249292607232,18.193443,0.69079685,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.009523541718057795
5877725214942648448,17.112215,0.8359499,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.009790661267828004
5877725146200367232,16.479784,1.1465025,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.009967605769366058
5877725214942898688,17.564783,0.6654749,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.010703913264717053
5877725180562074624,17.908297,0.88549805,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.01082121168127993
5877725146223169152,15.270286,1.5474567,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.010941347000361153
5877725214942898816,18.09123,0.70103645,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.011859599016788874
5877725146201968256,18.357742,0.5660505,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.011999313509881156
5877725146200364032,16.484251,0.901762,,alpha centauri,219.902083,-60.833972,750.81,-3608.0,686.0,-22.3,2000,0.012433387473708004
