source_id,phot_g_mean_mag,bp_rp,teff_gspphot,target_id,target_ra,target_dec,target_separation (deg)
3216468611037930624,20.337946,1.9759827,,Horsehead nebula,85.24583,-2.45833,0.008231203695777138
3216468675465488256,20.23374,2.472145,,Horsehead nebula,85.24583,-2.45833,0.014030795191382775
3216467855123686016,17.202978,2.3573055,5968.2295,Horsehead nebula,85.24583,-2.45833,0.014747006144007193
3216469053418858496,19.836756,2.701992,,Horsehead nebula,85.24583,-2.45833,0.014916768248588935
3216469057714526080,17.722948,2.1520176,6097.917,Horsehead nebula,85.24583,-2.45833,0.017209039070604355
3216467855122414464,20.352,1.9063358,,Horsehead nebula,85.24583,-2.45833,0.02071634436575808
3216467820763949440,17.095903,2.2821064,3666.4937,Horsehead nebula,85.24583,-2.45833,0.025081671978164116
3216468851554829952,20.508854,2.6802082,,Horsehead nebula,85.24583,-2.45833,0.027869781915871073
3216469019060675328,20.263578,2.4009514,,Horsehead nebula,85.24583,-2.45833,0.02802416325522687
3216469023354785408,19.156166,2.855505,,Horsehead nebula,85.24583,-2.45833,0.030165146182949694
3216469263872957696,20.635962,1.9280834,,Horsehead nebula,85.24583,-2.45833,0.030661633670768684
3216468881623918336,20.239279,1.5530434,,Horsehead nebula,85.24583,-2.45833,0.03168742946339711
3216468164360052992,20.950966,1.3627071,,Horsehead nebula,85.24583,-2.45833,0.0318862350370539
3216467752043204352,20.545559,1.8665085,,Horsehead nebula,85.24583,-2.45833,0.03190288455651511
3216468885914566912,15.501699,2.5498343,,Horsehead nebula,85.24583,-2.45833,0.032324741884122606
3216467752043205376,20.832869,1.0950413,,Horsehead nebula,85.24583,-2.45833,0.03316558777224426
3216469263873086464,17.452148,1.5440769,4976.557,Horsehead nebula,85.24583,-2.45833,0.0334342502135551
3216469259577341696,18.90432,1.5461082,4105.4375,Horsehead nebula,85.24583,-2.45833,0.034038487689096175
3216469298232692736,16.602976,3.038763,,Horsehead nebula,85.24583,-2.45833,0.03421731318570269
3216467752043202688,20.01697,1.3239117,,Horsehead nebula,85.24583,-2.45833,0.03439391445792528
3216467713389059456,18.409544,1.5670681,4290.579,Horsehead nebula,85.24583,-2.45833,0.03451843519795013
3216468954634040192,20.479784,1.8520966,,Horsehead nebula,85.24583,-2.45833,0.035104536723716565
3216468473597716864,20.38189,1.0950928,,Horsehead nebula,85.24583,-2.45833,0.03596075594113015
3216467752043206144,20.388985,1.2010403,,Horsehead nebula,85.24583,-2.45833,0.03598955583973401
3216468881620166784,18.544138,2.237564,,Horsehead nebula,85.24583,-2.45833,0.03696082726702101
3216469366952300672,18.137297,1.8512363,4575.791,Horsehead nebula,85.24583,-2.45833,0.03703680125347937
3216469332591874432,20.852161,1.755064,,Horsehead nebula,85.24583,-2.45833,0.03715619248295305
3216468748475620864,19.776678,1.6783657,,Horsehead nebula,85.24583,-2.45833,0.03774645317039573
3216468851555596032,20.944529,1.9189835,,Horsehead nebula,85.24583,-2.45833,0.03779876063661299
3216468473597718656,19.969912,1.208437,,Horsehead nebula,85.24583,-2.45833,0.03808741885066565
3216468542318456704,16.758434,1.835186,5552.1333,Horsehead nebula,85.24583,-2.45833,0.03829451888565421
3216468851554830208,19.730247,1.7946205,,Horsehead nebula,85.24583,-2.45833,0.03842225653219577
3216468473597719936,20.29262,1.583807,,Horsehead nebula,85.24583,-2.45833,0.038528712668466046
