source_id,phot_g_mean_mag,bp_rp,teff_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
3222282691086558464,4.6411395,-0.044976234,40070.098,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,1.2953341784432175E-9
3222281930877505920,14.076108,0.66982555,6384.0938,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.007285842178039535
3222282789870964992,14.504518,0.7590151,5990.6167,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.007942295811422646
3222282691085078656,17.967329,1.2462788,4437.3223,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.008413866810152977
3222282794164281984,16.466738,0.7569113,5761.581,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.009128904110593783
3222282794164917888,20.56621,0.8788738,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.010437137448582321
3222282794165188096,20.907457,0.7543011,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.010812780872099208
3222282038250038656,16.961906,0.9169884,5263.6763,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.011087826961165989
3222282038250673152,20.52795,1.0264263,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.011586506520096584
3222281935172350336,20.39428,0.19382286,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.01161464725463731
3222282691085507328,20.287987,1.5942612,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.012099737897147116
3222282038250040192,18.643745,1.2413673,4376.766,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.012269016556418839
3222282789870964864,17.639027,0.8380146,5422.577,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.01239179627877083
3222282033956721152,19.517117,2.5818386,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.016139497503917914
3222281866451785216,20.120733,1.3734436,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.01636849860095239
3222281900811719936,20.879774,1.3812695,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.01655352905289244
3222282691085507712,19.845127,1.2317581,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.017420676350974915
3222282038250944256,20.93799,0.30312347,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.017705122001359153
3222282759804983936,20.347382,1.1052437,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.01776351688498
3222282755510174080,18.228031,1.9507313,3553.74,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.017880419936082973
3222281866452073472,20.62392,1.2067413,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.018680163844470545
3222281969530564096,17.60141,0.84765625,5538.1025,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.020894616867324745
3222281900811989632,20.781347,1.3227634,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.02109159216084898
3222282858589389696,17.550766,1.698452,4207.7334,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.02129232045912086
3222282038250035584,19.083511,1.3120499,,25 ori,81.18678077013,1.84644497658,2.9321,1.047,0.433,19.3,2000,0.02144049369028512
